MIN_ELAPSED,MIN_ENTRY,MAX_ENTRY,MOVE_MODE,MIN_MOVE,MIN_SIGMA,TIER_ENTRY,MIN_MOVE_HIGH,MIN_CONF,KELLY_FRAC,MAX_PER_WINDOW,MAX_SAME_DIR,trades,wins,losses,winrate,pf,pnl,gross_win,gross_loss,final,max_dd,avg_entry,exp_per_trade,score
0.85,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,57,50,7,0.8771929824561403,6.030483588999788,880.3346280749643,1055.334628074963,-175.0,1380.3346280749643,0.10869090404149637,0.545701754385965,0.617778686368396,538.223404370994
0.85,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,116,90,26,0.7758620689655172,2.764067184429782,1146.6436698793582,1796.6436698793582,-650.0,1646.6436698793582,0.16411097197379754,0.5716379310344828,0.3953943689239166,537.0766474977046
0.65,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,184,136,48,0.7391304347826086,2.324403546065503,1589.284255278602,2789.2842552786033,-1200.0,2089.284255278602,0.31349760225976125,0.5533695652173913,0.34549657723447863,521.1594325718706
0.65,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,3,183,135,48,0.7377049180327869,2.3062960694299885,1567.555283315985,2767.5552833159863,-1200.0,2067.555283315985,0.31349760225976125,0.5534699453551913,0.3426350346045869,513.0426629825331
0.85,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,114,91,23,0.7982456140350878,3.096125457368778,1205.2721379870475,1780.2721379870475,-575.0,1705.2721379870475,0.2189960261105073,0.5770175438596491,0.4229025045568588,512.8525319530949
0.65,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,417,297,120,0.7122302158273381,1.740376793701367,2221.1303811040966,5221.130381104101,-3000.0,2721.1303811040966,0.5374426773002925,0.6000431654676259,0.21305807012988937,502.24486693370665
0.65,0.45,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,321,237,84,0.7383177570093458,2.0474012267313686,2199.5425761358724,4299.542576135874,-2100.0,2699.5425761358724,0.5605778422822211,0.590171339563863,0.2740863023222271,500.86532611317557
0.65,0.5,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,317,235,82,0.7413249211356467,2.069208178824568,2191.876766590364,4241.876766590365,-2050.0,2691.876766590364,0.5681938890952172,0.5927917981072556,0.27657750997985664,496.4877191054653
0.65,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,431,303,128,0.703016241299304,1.6925870157391691,2216.278450365338,5416.278450365341,-3200.0,2716.278450365338,0.544593723728269,0.5944153132250581,0.2056870951615163,490.21270220267616
0.85,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,61,52,9,0.8524590163934426,4.943509147986134,887.2895582968813,1112.2895582968802,-225.0,1387.2895582968813,0.13595242471321378,0.5409016393442624,0.581829218555332,489.94250048044563
0.85,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,105,80,25,0.7619047619047619,2.5338383214466997,958.6489509041876,1583.6489509041874,-625.0,1458.6489509041876,0.14344096128847322,0.574857142857143,0.3651996003444524,464.1097855552029
0.85,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,105,80,25,0.7619047619047619,2.5338383214466997,958.6489509041876,1583.6489509041874,-625.0,1458.6489509041876,0.14344096128847322,0.574857142857143,0.3651996003444524,464.1097855552029
0.65,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,178,132,46,0.7415730337078652,2.324788851118194,1523.507178785922,2673.507178785923,-1150.0,2023.507178785922,0.38642093773363373,0.557247191011236,0.3423611637721173,443.8068318710972
0.85,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,107,84,23,0.7850467289719626,2.83682477722403,1056.1742469038177,1631.1742469038172,-575.0,1556.1742469038177,0.22435097145243343,0.5794392523364487,0.39483149416965146,436.98979640406014
0.65,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,3,177,131,46,0.7401129943502824,2.3058940928898313,1501.7782068233055,2651.778206823306,-1150.0,2001.7782068233055,0.38642093773363373,0.5573728813559322,0.33938490549679223,436.61572852243006
0.85,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,49,42,7,0.8571428571428571,5.056802518259641,709.9404406954382,884.9404406954371,-175.0,1209.9404406954382,0.11502383695613912,0.5466326530612245,0.5795432168942353,416.76756154699166
0.85,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,3,49,42,7,0.8571428571428571,5.056802518259641,709.9404406954382,884.9404406954371,-175.0,1209.9404406954382,0.11502383695613912,0.5466326530612245,0.5795432168942353,416.76756154699166
0.65,0.45,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,305,221,84,0.7245901639344262,1.883892393040477,1856.1740253850003,3956.1740253850016,-2100.0,2356.1740253850003,0.57269495128508,0.5929016393442623,0.2434326590668853,408.70721257121346
0.65,0.5,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,301,219,82,0.7275747508305648,1.9017113247997526,1848.5082158394916,3898.508215839493,-2050.0,2348.5082158394916,0.5804756219244982,0.5956976744186047,0.24564893233747398,404.8667622027871
0.65,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,379,265,114,0.6992084432717678,1.602799543551528,1717.9786991218498,4567.978699121855,-2850.0,2217.97869912185,0.5237805743852448,0.6041240105540898,0.18131701309993137,388.10266487414657
0.85,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,53,44,9,0.8301886792452831,4.186201648521575,716.8953709173554,941.8953709173543,-225.0,1216.8953709173554,0.14357387847210018,0.5410377358490566,0.541053110126306,378.0474605234291
0.85,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,3,53,44,9,0.8301886792452831,4.186201648521575,716.8953709173554,941.8953709173543,-225.0,1216.8953709173554,0.14357387847210018,0.5410377358490566,0.541053110126306,378.0474605234291
0.65,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,377,263,114,0.6976127320954907,1.5875511421742527,1674.520755196616,4524.5207551966205,-2850.0,2174.520755196616,0.5237805743852448,0.6044907161803713,0.17766798463624572,377.421919615714
0.85,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,96,74,22,0.7708333333333334,2.5785082325975393,868.1795279286471,1418.1795279286466,-550.0,1368.179527928647,0.20570611159666974,0.5838541666666667,0.36174146997026957,367.13448778436873
0.85,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,96,74,22,0.7708333333333334,2.5785082325975393,868.1795279286471,1418.1795279286466,-550.0,1368.179527928647,0.20570611159666974,0.5838541666666667,0.36174146997026957,367.13448778436873
0.65,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,393,270,123,0.6870229007633588,1.5427248717959272,1668.878980772471,4743.878980772476,-3075.0,2168.878980772471,0.5544052456882662,0.5978193384223919,0.16986045605826677,356.33720830981196
0.65,0.45,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,277,198,79,0.7148014440433214,1.7638636618503225,1508.6307321543864,3483.630732154387,-1975.0,2008.6307321543864,0.5233704546138794,0.5955234657039712,0.2178528133074926,348.5947192055866
0.85,0.45,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,83,65,18,0.7831325301204819,2.9166355538848117,862.4859992481659,1312.4859992481652,-450.0,1362.4859992481659,0.23664285511033964,0.5693975903614459,0.4156559032521281,346.990013154288
0.65,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,391,268,123,0.6854219948849105,1.5285922071047942,1625.4210368472372,4700.421036847242,-3075.0,2125.4210368472372,0.5544052456882662,0.5981406649616369,0.1662834820304079,346.2493984143794
0.65,0.5,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,273,196,77,0.717948717948718,1.7797220377188978,1500.9649226088777,3425.964922608878,-1925.0,2000.9649226088777,0.5315026880573873,0.5986446886446887,0.21992160038225314,344.72557111470513
